Date,Price,Open,High,Low,Change %
2005-12-30,1887.94,1887.94,1887.94,1887.94,-0.49
2006-01-03,1918.96,1918.96,1918.96,1918.96,1.64
2006-01-04,1926.39,1926.39,1926.39,1926.39,0.39
2006-01-05,1926.44,1926.44,1926.44,1926.44,0
2006-01-06,1945.01,1945.01,1945.01,1945.01,0.96
2006-01-09,1952.13,1952.13,1952.13,1952.13,0.37
2006-01-10,1951.53,1951.53,1951.53,1951.53,-0.03
2006-01-11,1958.56,1958.56,1958.56,1958.56,0.36
2006-01-12,1946.28,1946.28,1946.28,1946.28,-0.63
2006-01-13,1948.64,1948.64,1948.64,1948.64,0.12
2006-01-17,1941.57,1941.57,1941.57,1941.57,-0.36
2006-01-18,1934.21,1934.21,1934.21,1934.21,-0.38
2006-01-19,1944.98,1944.98,1944.98,1944.98,0.56
2006-01-20,1909.35,1909.35,1909.35,1909.35,-1.83
2006-01-23,1912.91,1912.91,1912.91,1912.91,0.19
2006-01-24,1917.54,1917.54,1917.54,1917.54,0.24
2006-01-25,1914.28,1914.28,1914.28,1914.28,-0.17
2006-01-26,1928.17,1928.17,1928.17,1928.17,0.73
2006-01-27,1943.34,1943.34,1943.34,1943.34,0.79
2006-01-30,1945.66,1945.66,1945.66,1945.66,0.12
2006-01-31,1937.93,1937.93,1937.93,1937.93,-0.4
2006-02-01,1941.75,1941.75,1941.75,1941.75,0.2
2006-02-02,1924.67,1924.67,1924.67,1924.67,-0.88
2006-02-03,1914.5,1914.5,1914.5,1914.5,-0.53
2006-02-06,1916.04,1916.04,1916.04,1916.04,0.08
2006-02-07,1900.58,1900.58,1900.58,1900.58,-0.81
2006-02-08,1917.84,1917.84,1917.84,1917.84,0.91
2006-02-09,1915.1,1915.1,1915.1,1915.1,-0.14
2006-02-10,1920,1920,1920,1920,0.26
2006-02-13,1914.02,1914.02,1914.02,1914.02,-0.31
2006-02-14,1933.46,1933.46,1933.46,1933.46,1.02
2006-02-15,1940.68,1940.68,1940.68,1940.68,0.37
2006-02-16,1955.06,1955.06,1955.06,1955.06,0.74
2006-02-17,1951.83,1951.83,1951.83,1951.83,-0.17
2006-02-21,1945.45,1945.45,1945.45,1945.45,-0.33
2006-02-22,1960.26,1960.26,1960.26,1960.26,0.76
2006-02-23,1953.37,1953.37,1953.37,1953.37,-0.35
2006-02-24,1956.14,1956.14,1956.14,1956.14,0.14
